fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Symbol
2023-12-31,USD,86000000,None,None,-23000000,-7000000,53000000,40000000,-2000000,0,-73000000,-314000000,-126000000,0,88000000,88000000,None,16000000,16000000,None,None,0,None,-72000000,None,None,None,-73000000,ZG
2023-09-30,USD,75000000,None,None,-35000000,-1000000,49000000,41000000,7000000,0,-28000000,255000000,-49000000,0,100000000,100000000,None,42000000,42000000,None,0,0,None,-74000000,None,None,None,-28000000,ZG
2023-06-30,USD,100000000,None,None,8000000,19000000,45000000,44000000,16000000,0,-35000000,181000000,-109000000,0,150000000,150000000,None,34000000,34000000,None,0,0,None,-133000000,None,172000000,None,-35000000,ZG
2023-03-31,USD,93000000,None,None,7000000,30000000,40000000,40000000,3000000,0,-22000000,-97000000,-68000000,0,86000000,86000000,None,3000000,3000000,None,0,0,None,-73000000,None,-72000000,None,-22000000,ZG
2022-12-31,USD,84000000,43000000,None,-31000000,-25000000,36000000,36000000,-6000000,0,-72000000,-410000000,-181000000,-1000000,174000000,174000000,None,None,None,None,0,0,None,-172000000,None,-507000000,None,-72000000,ZG
2022-09-30,USD,165000000,-73000000,None,20000000,-1000000,34000000,33000000,5000000,-23000000,-51000000,-189000000,-184000000,0,176000000,176000000,None,2000000,2000000,None,0,0,None,-174000000,None,-208000000,None,-53000000,ZG
2022-06-30,USD,863000000,56000000,None,-40000000,-743000000,44000000,33000000,-25000000,-467000000,8000000,-371000000,-995000000,0,249000000,249000000,None,None,None,None,0,0,None,-243000000,None,-503000000,None,8000000,ZG
2022-03-31,USD,3392000000,64000000,None,-38000000,-3223000000,43000000,38000000,-56000000,-3414000000,16000000,-563000000,-2981000000,-2205000000,348000000,348000000,None,None,None,None,0,0,None,-312000000,None,-152000000,None,16000000,ZG
2021-12-31,USD,-215000000,108316000,None,-137547000,261688000,42000000,34649000,-6306000,257000000,-261208000,467000000,60000000,-1245244000,302000000,302297000,None,None,None,None,0,978831000,None,-272625000,None,311765000,None,-261000000,ZG
2021-09-30,USD,-2804000000,30417000,None,90421000,2982606000,30000000,35206000,55807000,2892000000,-328174000,-674000000,2150000000,-387786000,0,0,None,None,None,None,0,2029350000,None,21865000,None,-328174000,None,-329000000,ZG
2021-06-30,USD,-399000000,13582000,None,45943000,723946000,29000000,18574000,20162000,697000000,9651000,391000000,340000000,-58499000,0,0,None,None,None,None,0,484108000,None,14536000,None,9651000,None,10000000,ZG
