fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome,Symbol
2024-03-01,USD,4592000000,5182000000,590000000,42000000,907000000,1704000000,939000000,3685000000,None,-27000000,None,27000000,None,70000000,None,84000000,968000000,348000000,27000000,620000000,628000000,995000000,1079000000,620000000,ADBE
2023-12-01,USD,4414000000,5048000000,634000000,49000000,1743000000,1740000000,889000000,2671000000,None,-28000000,None,28000000,None,89000000,None,326000000,1808000000,325000000,28000000,1483000000,1483000000,1836000000,2162000000,1483000000,ADBE
2023-09-01,USD,4310000000,4890000000,580000000,50000000,1697000000,1690000000,881000000,2613000000,None,-27000000,None,27000000,None,67000000,None,92000000,1743000000,340000000,27000000,1403000000,1415000000,1770000000,1862000000,1403000000,ADBE
2023-06-02,USD,4244000000,4816000000,572000000,572000000,1624000000,357000000,876000000,2620000000,None,-26000000,None,26000000,None,47000000,None,267000000,1650000000,355000000,None,1295000000,1305000000,1676000000,1772000000,1295000000,ADBE
2023-03-03,USD,4087000000,4655000000,568000000,54000000,1586000000,1632000000,827000000,2501000000,None,-32000000,None,32000000,None,43000000,None,96000000,1598000000,351000000,32000000,1247000000,1233000000,1630000000,1726000000,1247000000,ADBE
2022-12-02,USD,3957000000,4525000000,568000000,60000000,1505000000,1637000000,773000000,2452000000,None,-28000000,None,28000000,None,36000000,None,291000000,1517000000,341000000,28000000,1176000000,1107000000,1545000000,1836000000,1176000000,ADBE
2022-09-02,USD,3887000000,4433000000,546000000,58000000,1484000000,1585000000,775000000,2403000000,None,-28000000,None,28000000,None,6000000,None,101000000,1456000000,320000000,28000000,1136000000,1107000000,1484000000,1585000000,1136000000,ADBE
2022-06-03,USD,3847000000,4386000000,539000000,59000000,1529000000,1538000000,738000000,2318000000,None,-28000000,None,28000000,None,-1000000,None,101000000,1492000000,314000000,28000000,1178000000,1160000000,1520000000,1621000000,1178000000,ADBE
2022-03-04,USD,3750000000,4262000000,512000000,59000000,1580000000,1427000000,701000000,2170000000,None,-28000000,None,28000000,None,0,None,101000000,1543000000,277000000,28000000,1266000000,1226000000,1571000000,1672000000,1266000000,ADBE
2021-12-03,USD,3603000000,4110000000,507000000,51000000,1501000000,1405000000,657000000,2102000000,None,-28000000,None,28000000,None,-1000000,None,299000000,1468000000,235000000,28000000,1233000000,1227000000,1496000000,1795000000,1233000000,ADBE
